,Activo 1,Activo 2
2010-01-04,117.0,158.0
2010-01-05,120.99333946738764,158.4170885725471
2010-01-06,123.25027650054813,160.6662735414028
2010-01-07,127.47247648703832,159.71239209223785
2010-01-08,129.66606668794248,159.58055481104205
2010-01-11,129.53069743610143,160.0080356703808
2010-01-12,129.9420481908741,161.47429298932275
2010-01-13,131.7176298866744,161.614206441315
2010-01-14,132.79190954672038,161.96512417388834
2010-01-15,136.18831322527026,161.77973835540553
2010-01-19,136.97339191102097,160.94846088473625
2010-01-20,131.42135326939118,161.6178212095457
2010-01-21,133.4255585205077,160.89794910485253
2010-01-22,138.53705233371187,159.46921909848763
2010-01-25,138.73108577575252,159.30172332985592
2010-01-26,142.21305903337745,160.78299510823285
2010-01-27,142.64851921550598,161.1781922252833
2010-01-28,140.77840024571162,159.22550225686575
2010-01-29,140.10199156035338,159.39992691738595
2010-02-01,142.91513479062863,160.6154728547393
2010-02-02,142.15157664140574,160.3333985023813
2010-02-03,139.92598653640937,158.93885502046183
2010-02-04,136.24612302581252,160.8992838690458
2010-02-05,135.21209222165115,160.48207521681394
2010-02-08,132.5349033569177,161.27472590316776
2010-02-09,129.0592836105335,161.0817936548435
2010-02-10,127.17218165403176,161.4856897285876
2010-02-11,126.13560155829389,160.32940842966795
2010-02-12,126.16614519681988,160.77453942506844
2010-02-16,126.40607804906598,161.09440117830852
2010-02-17,125.09639057916412,160.75217208152984
2010-02-18,123.70237569325664,160.41311602612544
2010-02-19,121.99729146117556,158.71374534892269
2010-02-22,122.48245415740946,158.33265971720857
2010-02-23,118.97079250446411,158.81207940284804
2010-02-24,117.05752934060725,158.88259051391225
2010-02-25,118.76247291460456,159.02977756016966
2010-02-26,121.37464998624831,157.81955698579907
2010-03-01,122.3571215804129,157.15677061208996
2010-03-02,120.52456596757747,156.5994473335313
2010-03-03,119.9285517470064,156.6741585844809
2010-03-04,117.445155203405,157.589566517115
2010-03-05,118.56763491926468,156.07934279797436
2010-03-08,121.95115483049862,157.98514303881328
2010-03-09,124.65040224988904,157.8248722138169
2010-03-10,122.37572665841816,158.8931843380055
2010-03-11,121.57712241186604,160.1287013197475
2010-03-12,122.13049472735268,161.11956597158505
2010-03-15,123.01131081962116,161.84163232397765
2010-03-16,123.12738447604856,163.63793026136238
2010-03-17,123.50085595299346,164.0568423896674
2010-03-18,127.75753285158808,162.73421863281823
2010-03-19,125.04123056587032,163.7178749485921
2010-03-22,122.54020373663316,165.6711831662655
2010-03-23,121.71851119096692,164.94604609846007
2010-03-24,126.0631703863699,166.43842153697702
2010-03-25,130.28537251823107,167.35902314916132
2010-03-26,128.47398029475502,169.2789326322877
2010-03-29,127.9742572833441,170.0964321791391
2010-03-30,130.1615758324196,169.96095915816363
2010-03-31,131.6122190610291,170.89764692635032
2010-04-01,132.5373877473224,169.8222157570036
2010-04-05,133.28967698109795,171.16118571312666
2010-04-06,131.8467805697809,171.03106301446502
2010-04-07,130.97747310293886,172.8904566468276
2010-04-08,132.55683591701128,173.31481556258026
2010-04-09,130.94733765833493,173.87034328226224
2010-04-12,129.54918313719017,173.92083396588896
2010-04-13,128.23612599665998,174.61290190817107
2010-04-14,129.6038785777585,174.42439033794523
2010-04-15,130.5723430611024,173.35526869668794
2010-04-16,127.36789222159386,173.81140761290524
2010-04-19,127.82927982453305,174.46226801900633
2010-04-20,133.19148971216663,175.42112406394588
2010-04-21,131.26601278238576,176.5517070991273
2010-04-22,128.44927735722678,176.1110984905792
2010-04-23,128.39124602108004,177.8352090687527
2010-04-26,126.83738161049295,177.03145898815012
2010-04-27,126.71255114776145,176.3899042970338
2010-04-28,129.29650415316624,175.33385102977243
2010-04-29,126.85220234667982,174.9168954410389
2010-04-30,125.84386383884762,176.85618065498684
2010-05-03,128.03597789118385,176.9621304936665
2010-05-04,125.4192841570646,177.8213399303069
2010-05-05,123.3005729798915,176.30262882453104
2010-05-06,126.020273490905,176.63689337287178
2010-05-07,128.14923436603246,176.97293458404357
2010-05-10,130.13662296340257,176.3437741385968
2010-05-11,127.94267385990672,177.04097907973147
2010-05-12,126.25911818733344,176.3734752651904
2010-05-13,125.34475097980211,176.4096819086411
2010-05-14,124.6548949582842,175.059993547738
2010-05-17,123.32465249203356,172.86583558299128
2010-05-18,124.79995399888396,171.2901067959671
2010-05-19,122.45091779045072,171.3608365593998
2010-05-20,120.9085329849071,172.9154184556586
2010-05-21,118.14276434148846,173.20002543103203
2010-05-24,118.14876355266102,172.05622396748686
2010-05-25,119.39863362084826,171.9042923221134
2010-05-26,121.1979908061388,172.74274083833396
2010-05-27,126.0739620120482,174.09180524493
2010-05-28,125.35052408479378,173.87235913035792
2010-06-01,127.87482994659764,174.5433568689176
2010-06-02,129.38307689272548,172.9527996195873
2010-06-03,129.42214673246815,172.23704222241906
2010-06-04,130.13394296364953,172.1581620307797
2010-06-07,132.23928956085342,172.49270088882798
2010-06-08,134.0707903015046,172.0472804793095
2010-06-09,132.07538972565018,171.65796490046193
2010-06-10,132.13061316473744,172.0541465905264
2010-06-11,137.21901063153504,172.0308972989158
2010-06-14,135.1981852716204,171.70534893131472
2010-06-15,134.2659889862366,172.20338006940358
2010-06-16,130.95200191935805,172.28515466380165
2010-06-17,131.39090944241102,172.53505546948531
2010-06-18,130.1630457038935,172.31705996214242
2010-06-21,127.1071729254204,171.84486502630335
