,Activo 1,Activo 2
2010-01-04,117.0,158.0
2010-01-05,113.1923748195137,156.26303684869893
2010-01-06,111.12115207871508,155.30770212145214
2010-01-07,107.08466637504009,153.4677191518955
2010-01-08,105.0767904594012,152.54089955167947
2010-01-11,105.39787399817456,152.66244345905102
2010-01-12,105.17223753343028,152.53788547056064
2010-01-13,103.58237012370525,151.7992292397312
2010-01-14,102.69380475036336,151.37625882301825
2010-01-15,99.48311535691911,149.90800181755702
2010-01-19,98.88375095434908,149.61521305027162
2010-01-20,104.62150388363212,152.17502978545366
2010-01-21,102.80301291602824,151.33346039765556
2010-01-22,97.877233384224,149.09316853177896
2010-01-25,97.86891422734234,149.06643431062724
2010-01-26,94.57265525979057,147.5596587850591
2010-01-27,94.32290936449812,147.4242481328
2010-01-28,96.37874261413076,148.32667655733488
2010-01-29,97.24086558566708,148.6917652839891
2010-02-01,94.61343664467296,147.48605854886958
2010-02-02,95.56270907871338,147.89037695422857
2010-02-03,97.97401346521156,148.95281801977873
2010-02-04,101.83959126730964,150.66988923879254
2010-02-05,103.05933635588578,151.19595886937378
2010-02-08,105.92223950863992,152.46168368070352
2010-02-09,109.58357354010732,154.08681613726958
2010-02-10,111.65638978347108,154.99688929659655
2010-02-11,112.8786841614209,155.52410648045824
2010-02-12,113.03385480987984,155.57096595263664
2010-02-16,112.97963624424531,155.52357045263025
2010-02-17,114.47503799878535,156.17372484922063
2010-02-18,116.05476716934054,156.86183859542768
2010-02-19,117.9455656820149,157.68997787571095
2010-02-22,117.64611727030344,157.5321940213476
2010-02-23,121.3434932103359,159.17355046192242
2010-02-24,123.44247066006116,160.09539989525243
2010-02-25,121.92324137216076,159.388540881557
2010-02-26,119.4967785825682,158.27329757477003
2010-03-01,118.70002127208642,157.89165387801597
2010-03-02,120.71829116891897,158.77717342416508
2010-03-03,121.50001967537094,159.10607319066617
2010-03-04,124.16913050735891,160.28456385026047
2010-03-05,123.23236507265626,159.83989656479932
2010-03-08,120.03455945276076,158.37743906467432
2010-03-09,117.52102631855088,157.22300168554003
2010-03-10,119.98141619886404,158.30753818249997
2010-03-11,120.96573473475682,158.72763230565414
2010-03-12,120.59807670788165,158.53914438959117
2010-03-15,119.90297490342346,158.20326013280936
2010-03-16,119.9726155380081,158.2116188968539
2010-03-17,119.78485834797,158.10411199194095
2010-03-18,115.71389573109155,156.2486095051487
2010-03-19,118.61591230539932,157.53194092532743
2010-03-22,121.30265342611644,158.71836771236218
2010-03-23,122.31006025527968,159.14885488272358
2010-03-24,118.15111534998292,157.25374779528653
2010-03-25,114.11462750652376,155.41376383737344
2010-03-26,116.11173402138031,156.28975681367115
2010-03-29,116.79717132088598,156.5753118103847
2010-03-30,114.79556705706491,155.65131534693322
2010-03-31,113.5306381169054,155.05892770424973
2010-04-01,112.79118371306504,154.7030784838277
2010-04-05,112.22460876893848,154.42504961458806
2010-04-06,113.85321946552594,155.13516700788688
2010-04-07,114.90824122356808,155.5870876443222
2010-04-08,113.51459269641867,154.93675785824334
2010-04-09,115.30980524240896,155.72186980703162
2010-04-12,116.89367404936245,156.4118469740834
2010-04-13,118.39244547761352,157.06351818997777
2010-04-14,117.2104071816114,156.5084431600452
2010-04-15,116.42765698073924,156.1331046633818
2010-04-16,119.81782210726551,157.63617247596704
