"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2024","1,390.05","1,400.64","1,406.11","1,387.12","361.46M","-1.05%"
"01/11/2024","1,404.75","1,407.07","1,410.82","1,389.97","351.07M","-0.03%"
"01/10/2024","1,405.16","1,396.01","1,408.09","1,395.11","319.38M","0.98%"
"01/09/2024","1,391.47","1,384.04","1,393.34","1,381.29","331.71M","-0.14%"
"01/08/2024","1,393.36","1,372.87","1,394.82","1,370.93","324.46M","1.77%"
"01/05/2024","1,369.16","1,362.88","1,379.42","1,362.25","347.34M","0.29%"
"01/04/2024","1,365.24","1,368.12","1,383.58","1,365.07","390.98M","-0.97%"
"01/03/2024","1,378.56","1,394.17","1,396.97","1,377.71","447.97M","-1.88%"
"01/02/2024","1,405.01","1,414.09","1,414.89","1,399.11","394.02M","-0.92%"
"12/29/2023","1,418.09","1,427.77","1,430.32","1,413.37","328.47M","-0.63%"
"12/28/2023","1,427.14","1,435.91","1,438.25","1,426.18","272.56M","-0.41%"
"12/27/2023","1,432.99","1,431.21","1,438.24","1,430.32","300.96M","0.27%"
"12/26/2023","1,429.19","1,426.93","1,431.28","1,424.58","265.51M","0.35%"
"12/22/2023","1,424.21","1,429.23","1,434.62","1,418.40","353.20M","-0.65%"
"12/21/2023","1,433.50","1,426.04","1,434.18","1,419.33","420.18M","1.44%"
"12/20/2023","1,413.11","1,433.51","1,445.23","1,412.69","407.00M","-1.74%"
"12/19/2023","1,438.20","1,432.70","1,441.63","1,431.81","355.91M","0.70%"
"12/18/2023","1,428.18","1,418.90","1,431.72","1,418.06","395.72M","0.79%"
"12/15/2023","1,416.96","1,410.85","1,419.56","1,407.35","695.84M","0.48%"
"12/14/2023","1,410.22","1,403.85","1,415.75","1,397.87","630.36M","1.08%"
"12/13/2023","1,395.22","1,378.08","1,396.08","1,366.34","497.72M","1.35%"
"12/12/2023","1,376.60","1,368.31","1,377.35","1,365.01","338.80M","0.40%"
"12/11/2023","1,371.13","1,365.12","1,372.61","1,361.09","380.75M","0.12%"
"12/08/2023","1,369.43","1,356.34","1,372.00","1,354.90","376.66M","0.43%"
"12/07/2023","1,363.54","1,358.86","1,365.63","1,353.08","378.96M","0.90%"
"12/06/2023","1,351.44","1,362.63","1,366.00","1,350.44","411.16M","-0.04%"
"12/05/2023","1,351.92","1,339.06","1,364.71","1,338.52","409.60M","0.32%"
"12/04/2023","1,347.65","1,343.13","1,352.14","1,338.96","435.61M","-0.46%"
"12/01/2023","1,353.94","1,331.45","1,354.17","1,329.45","447.79M","1.27%"
"11/30/2023","1,336.91","1,336.08","1,338.56","1,325.75","559.10M","-0.17%"
"11/29/2023","1,339.14","1,353.02","1,358.89","1,337.96","513.17M","-0.35%"
"11/28/2023","1,343.90","1,335.99","1,344.65","1,327.41","381.71M","0.54%"
"11/27/2023","1,336.71","1,337.09","1,344.55","1,330.12","353.27M","0.19%"
"11/24/2023","1,334.14","1,330.47","1,336.25","1,329.02","171.68M","0.13%"
"11/22/2023","1,332.36","1,333.27","1,341.97","1,327.74","343.94M","0.50%"
"11/21/2023","1,325.78","1,320.90","1,326.77","1,315.32","407.10M","-0.38%"
"11/20/2023","1,330.78","1,323.42","1,333.86","1,319.95","376.95M","0.52%"
"11/17/2023","1,323.93","1,317.28","1,326.74","1,310.23","409.19M","0.73%"
"11/16/2023","1,314.32","1,313.11","1,323.55","1,307.93","421.96M","-0.91%"
"11/15/2023","1,326.39","1,333.77","1,336.55","1,321.81","495.58M","-0.04%"
"11/14/2023","1,326.91","1,313.69","1,331.27","1,313.69","521.47M","3.32%"
"11/13/2023","1,284.31","1,273.46","1,288.49","1,267.58","365.18M","0.29%"
"11/10/2023","1,280.59","1,260.36","1,281.10","1,254.67","401.64M","1.66%"
"11/09/2023","1,259.72","1,280.95","1,281.64","1,254.78","415.63M","-1.82%"
"11/08/2023","1,283.04","1,288.13","1,289.14","1,275.49","380.43M","-0.25%"
"11/07/2023","1,286.30","1,275.01","1,288.17","1,272.63","387.87M","1.19%"
"11/06/2023","1,271.20","1,274.01","1,278.01","1,262.99","388.64M","0.18%"
"11/03/2023","1,268.86","1,264.29","1,275.55","1,264.29","460.99M","1.21%"
"11/02/2023","1,253.70","1,245.04","1,254.39","1,239.88","499.01M","2.40%"
"11/01/2023","1,224.35","1,213.93","1,225.34","1,206.17","489.60M","1.43%"
"10/31/2023","1,207.03","1,199.17","1,210.42","1,194.31","460.07M","0.71%"
"10/30/2023","1,198.53","1,197.96","1,204.07","1,186.46","505.12M","1.26%"
"10/27/2023","1,183.57","1,190.60","1,201.69","1,179.44","590.21M","1.70%"
"10/26/2023","1,163.81","1,178.42","1,186.38","1,162.19","503.80M","-1.56%"
"10/25/2023","1,182.29","1,200.72","1,200.72","1,180.64","421.06M","-2.40%"
"10/24/2023","1,211.39","1,208.59","1,218.45","1,201.35","378.46M","1.04%"
"10/23/2023","1,198.95","1,190.92","1,213.18","1,179.53","432.29M","0.21%"
"10/20/2023","1,196.39","1,211.70","1,213.27","1,195.84","433.99M","-1.66%"
"10/19/2023","1,216.55","1,235.60","1,242.80","1,210.32","474.21M","-2.20%"
"10/18/2023","1,243.93","1,263.28","1,265.65","1,241.35","385.25M","-2.33%"
"10/17/2023","1,273.59","1,260.45","1,280.50","1,256.69","348.20M","0.06%"
"10/16/2023","1,272.81","1,259.22","1,276.89","1,257.79","314.56M","1.65%"
"10/13/2023","1,252.16","1,271.91","1,274.28","1,248.43","352.64M","-1.46%"
"10/12/2023","1,270.66","1,283.32","1,287.55","1,262.08","381.32M","-0.95%"
"10/11/2023","1,282.90","1,282.13","1,288.20","1,271.12","331.58M","0.48%"
"10/10/2023","1,276.75","1,264.83","1,288.59","1,264.63","368.52M","1.09%"
"10/09/2023","1,262.98","1,245.15","1,265.56","1,238.08","333.62M","0.18%"
"10/06/2023","1,260.72","1,237.69","1,265.64","1,231.99","392.85M","0.70%"
"10/05/2023","1,251.95","1,255.97","1,258.93","1,241.62","369.52M","-0.57%"
"10/04/2023","1,259.10","1,241.48","1,261.09","1,241.20","388.19M","1.97%"
"10/03/2023","1,234.72","1,256.56","1,258.77","1,230.30","416.76M","-2.59%"
"10/02/2023","1,267.60","1,257.68","1,277.42","1,254.56","397.64M","0.28%"
"09/29/2023","1,264.00","1,275.08","1,280.30","1,257.26","524.49M","0.53%"
"09/28/2023","1,257.30","1,239.25","1,261.32","1,235.96","412.01M","0.97%"
"09/27/2023","1,245.24","1,252.02","1,257.48","1,232.83","400.99M","-0.38%"
"09/26/2023","1,249.98","1,264.82","1,271.51","1,246.83","366.92M","-2.03%"
"09/25/2023","1,275.84","1,262.69","1,278.86","1,259.56","337.16M","0.67%"
