"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2024","631.77","634.58","636.54","627.85","151.77M","1.26%"
"01/11/2024","623.93","626.20","627.89","622.20","142.00M","0.16%"
"01/10/2024","622.93","629.14","629.14","620.51","150.62M","-1.01%"
"01/09/2024","629.29","639.94","639.94","627.77","159.96M","-1.63%"
"01/08/2024","639.69","635.92","640.04","627.19","169.33M","-1.16%"
"01/05/2024","647.23","651.67","652.34","644.08","139.72M","0.06%"
"01/04/2024","646.81","660.74","664.88","646.02","153.92M","-1.63%"
"01/03/2024","657.50","647.50","659.93","645.05","145.67M","1.52%"
"01/02/2024","647.67","642.44","653.22","642.44","137.23M","1.19%"
"12/29/2023","640.05","643.11","644.37","638.33","112.49M","-0.24%"
"12/28/2023","641.58","647.99","650.62","641.44","106.17M","-1.47%"
"12/27/2023","651.12","653.35","656.58","649.21","93.03M","-0.53%"
"12/26/2023","654.57","654.06","657.98","652.63","94.27M","0.87%"
"12/22/2023","648.91","650.16","654.60","648.08","99.12M","0.25%"
"12/21/2023","647.26","646.04","648.05","641.12","124.06M","0.39%"
"12/20/2023","644.74","652.52","656.63","643.95","149.11M","-0.97%"
"12/19/2023","651.04","644.64","651.52","643.14","143.50M","1.22%"
"12/18/2023","643.17","648.50","652.36","642.55","158.85M","0.76%"
"12/15/2023","638.29","635.67","639.21","632.98","410.42M","-0.51%"
"12/14/2023","641.58","628.39","642.49","628.39","222.54M","2.94%"
"12/13/2023","623.23","615.83","623.75","613.09","179.02M","1.25%"
"12/12/2023","615.54","617.67","618.83","612.07","181.26M","-1.35%"
"12/11/2023","623.99","623.25","625.54","620.74","154.86M","0.12%"
"12/08/2023","623.22","620.06","624.72","619.26","145.35M","1.11%"
"12/07/2023","616.35","623.74","626.54","614.42","194.40M","-0.61%"
"12/06/2023","620.13","626.32","630.28","617.97","200.73M","-1.64%"
"12/05/2023","630.48","641.57","641.87","629.84","141.94M","-1.70%"
"12/04/2023","641.40","640.97","645.33","636.96","147.39M","-0.46%"
"12/01/2023","644.36","639.99","652.11","638.35","134.85M","0.48%"
"11/30/2023","641.28","642.37","650.73","633.99","248.59M","0.64%"
"11/29/2023","637.21","645.91","646.86","635.13","156.94M","-0.88%"
"11/28/2023","642.89","644.41","648.61","641.75","119.88M","0.06%"
"11/27/2023","642.52","642.49","643.70","636.63","123.80M","-0.40%"
"11/24/2023","645.08","642.46","649.89","642.42","58.27M","0.45%"
"11/22/2023","642.21","630.07","642.91","626.46","123.28M","-0.11%"
"11/21/2023","642.91","641.89","643.92","636.86","107.92M","-0.21%"
"11/20/2023","644.25","646.18","649.88","644.08","121.44M","0.12%"
"11/17/2023","643.50","635.60","647.54","634.31","162.57M","2.12%"
"11/16/2023","630.13","636.81","638.34","623.54","175.24M","-2.11%"
"11/15/2023","643.71","644.07","652.08","643.04","144.49M","-0.34%"
"11/14/2023","645.88","643.58","647.93","642.39","133.55M","0.54%"
"11/13/2023","642.39","638.56","643.59","637.04","114.54M","0.71%"
"11/10/2023","637.88","636.71","639.39","632.05","137.34M","1.07%"
"11/09/2023","631.14","635.15","639.01","630.89","140.64M","-0.27%"
"11/08/2023","632.87","638.00","642.30","632.58","168.80M","-1.22%"
"11/07/2023","640.68","646.17","646.38","637.83","186.81M","-2.23%"
"11/06/2023","655.32","666.65","667.42","653.50","129.28M","-1.19%"
"11/03/2023","663.24","668.59","670.48","659.06","163.45M","-1.01%"
"11/02/2023","670.03","650.75","670.74","648.19","172.62M","3.11%"
"11/01/2023","649.85","654.91","659.27","649.51","160.96M","-0.33%"
"10/31/2023","652.01","650.55","653.18","644.00","145.72M","0.22%"
"10/30/2023","650.56","650.77","654.80","644.12","150.11M","0.31%"
"10/27/2023","648.58","661.86","665.38","646.09","164.47M","-2.30%"
"10/26/2023","663.88","669.21","669.21","657.48","150.12M","-0.80%"
"10/25/2023","669.21","670.27","674.28","665.81","140.03M","-0.16%"
