"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2024","625.08","628.81","631.97","622.99","363.93M","-0.23%"
"01/11/2024","626.52","628.78","628.91","622.01","320.54M","-0.41%"
"01/10/2024","629.11","627.29","629.54","625.23","255.27M","0.21%"
"01/09/2024","627.82","629.18","629.18","626.33","269.00M","-0.69%"
"01/08/2024","632.18","628.50","632.26","625.15","269.24M","0.60%"
"01/05/2024","628.43","625.58","631.30","625.20","315.05M","0.53%"
"01/04/2024","625.14","624.36","630.46","624.36","299.19M","0.24%"
"01/03/2024","623.67","626.52","626.83","622.47","334.75M","-0.81%"
"01/02/2024","628.79","624.28","629.01","623.54","293.41M","0.39%"
"12/29/2023","626.35","627.79","628.84","624.36","211.47M","-0.28%"
"12/28/2023","628.10","625.47","629.38","625.47","164.98M","0.35%"
"12/27/2023","625.93","623.51","626.21","622.20","178.37M","0.24%"
"12/26/2023","624.43","621.89","625.69","621.78","165.34M","0.41%"
"12/22/2023","621.91","621.94","624.44","619.84","214.45M","0.23%"
"12/21/2023","620.49","617.50","620.86","615.17","247.90M","0.87%"
"12/20/2023","615.11","624.07","625.58","614.94","325.76M","-1.72%"
"12/19/2023","625.85","620.54","626.11","619.47","328.77M","0.77%"
"12/18/2023","621.04","622.44","623.36","620.71","312.78M","0.14%"
"12/15/2023","620.17","619.60","620.61","616.70","651.75M","-0.40%"
"12/14/2023","622.67","620.96","625.12","619.57","666.80M","0.93%"
"12/13/2023","616.93","607.42","617.54","606.27","394.18M","1.61%"
"12/12/2023","607.17","603.27","607.23","601.95","272.80M","0.71%"
"12/11/2023","602.87","599.33","603.80","599.33","267.76M","0.68%"
"12/08/2023","598.79","595.57","600.01","594.65","289.74M","0.50%"
"12/07/2023","595.82","594.69","596.23","593.36","298.75M","0.40%"
"12/06/2023","593.43","599.27","601.66","592.62","334.81M","-0.50%"
"12/05/2023","596.43","597.66","597.66","593.80","306.90M","-0.51%"
"12/04/2023","599.46","596.52","601.55","596.24","309.12M","0.00%"
"12/01/2023","599.47","594.07","600.57","593.74","355.00M","0.74%"
"11/30/2023","595.09","589.71","595.35","588.57","454.26M","1.02%"
"11/29/2023","589.09","587.09","592.59","587.05","327.96M","0.71%"
