"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2024","1,637.75","1,638.90","1,645.05","1,632.56","173.96M","-0.29%"
"01/11/2024","1,642.58","1,643.76","1,644.56","1,632.93","214.34M","-0.11%"
"01/10/2024","1,644.44","1,638.60","1,646.16","1,631.74","212.35M","0.42%"
"01/09/2024","1,637.63","1,635.59","1,651.17","1,632.44","215.47M","0.04%"
"01/08/2024","1,636.96","1,623.86","1,637.31","1,616.55","209.04M","0.84%"
"01/05/2024","1,623.32","1,620.38","1,629.40","1,615.94","202.50M","-0.02%"
"01/04/2024","1,623.72","1,616.72","1,632.93","1,616.72","228.84M","0.46%"
"01/03/2024","1,616.21","1,621.84","1,625.59","1,614.64","215.21M","-0.14%"
"01/02/2024","1,618.40","1,587.92","1,621.51","1,586.81","240.66M","1.76%"
"12/29/2023","1,590.36","1,589.45","1,593.70","1,584.79","137.78M","0.03%"
"12/28/2023","1,589.86","1,587.01","1,594.66","1,587.01","124.33M","0.24%"
"12/27/2023","1,586.03","1,577.81","1,586.35","1,577.05","139.65M","0.46%"
"12/26/2023","1,578.69","1,573.52","1,582.83","1,572.35","117.22M","0.22%"
"12/22/2023","1,575.27","1,571.38","1,580.00","1,569.29","155.14M","0.49%"
"12/21/2023","1,567.63","1,556.32","1,568.60","1,555.65","192.09M","1.20%"
"12/20/2023","1,549.01","1,570.94","1,571.15","1,548.83","221.38M","-1.46%"
"12/19/2023","1,571.98","1,562.79","1,572.13","1,560.40","234.93M","0.67%"
"12/18/2023","1,561.53","1,562.70","1,565.99","1,557.40","222.28M","0.19%"
"12/15/2023","1,558.59","1,564.89","1,565.50","1,552.92","537.54M","-0.85%"
"12/14/2023","1,571.96","1,583.11","1,586.26","1,566.02","358.73M","-0.55%"
"12/13/2023","1,580.62","1,548.52","1,581.01","1,543.94","348.83M","1.83%"
"12/12/2023","1,552.29","1,548.08","1,554.11","1,540.30","206.07M","0.47%"
"12/11/2023","1,545.10","1,541.00","1,547.82","1,536.15","207.26M","0.61%"
"12/08/2023","1,535.68","1,533.92","1,538.70","1,526.18","173.94M","0.18%"
"12/07/2023","1,532.92","1,536.77","1,537.32","1,525.74","189.44M","-0.08%"
"12/06/2023","1,534.12","1,535.68","1,539.60","1,532.38","181.64M","0.06%"
"12/05/2023","1,533.18","1,532.15","1,535.76","1,524.09","190.10M","-0.17%"
"12/04/2023","1,535.76","1,528.76","1,538.47","1,528.38","213.93M","0.21%"
"12/01/2023","1,532.57","1,524.61","1,534.04","1,523.83","257.12M","0.36%"
"11/30/2023","1,527.10","1,509.60","1,527.80","1,504.29","322.66M","1.25%"
"11/29/2023","1,508.21","1,506.16","1,516.15","1,505.20","189.58M","0.02%"
"11/28/2023","1,507.92","1,513.93","1,516.24","1,506.75","169.67M","-0.50%"
"11/27/2023","1,515.55","1,523.39","1,526.47","1,513.15","168.89M","-0.64%"
"11/24/2023","1,525.24","1,521.46","1,525.53","1,520.12","71.37M","0.51%"
"11/22/2023","1,517.49","1,515.77","1,520.47","1,512.84","140.35M","0.54%"
"11/21/2023","1,509.34","1,503.80","1,512.75","1,503.65","185.44M","0.61%"
"11/20/2023","1,500.21","1,487.38","1,503.97","1,485.74","203.67M","0.52%"
"11/17/2023","1,492.44","1,499.88","1,500.79","1,488.09","193.98M","-0.19%"
"11/16/2023","1,495.29","1,491.91","1,497.29","1,488.11","207.13M","0.38%"
"11/15/2023","1,489.59","1,488.96","1,495.34","1,485.88","228.78M","0.07%"
"11/14/2023","1,488.62","1,484.80","1,497.88","1,483.40","208.96M","0.70%"
"11/13/2023","1,478.30","1,472.01","1,481.34","1,463.10","204.83M","0.57%"
"11/10/2023","1,469.99","1,465.55","1,472.00","1,450.59","207.28M","0.60%"
"11/09/2023","1,461.25","1,492.62","1,492.62","1,460.08","210.13M","-2.10%"
"11/08/2023","1,492.60","1,499.81","1,500.65","1,484.08","202.83M","-0.14%"
"11/07/2023","1,494.70","1,494.06","1,498.60","1,489.58","185.39M","0.05%"
"11/06/2023","1,494.01","1,487.51","1,496.33","1,484.65","190.05M","0.66%"
"11/03/2023","1,484.19","1,485.10","1,493.10","1,482.09","208.93M","0.51%"
"11/02/2023","1,476.63","1,453.12","1,477.92","1,453.12","226.54M","1.57%"
"11/01/2023","1,453.86","1,449.45","1,460.47","1,446.10","211.99M","0.19%"
"10/31/2023","1,451.16","1,446.09","1,452.34","1,439.28","254.90M","0.63%"
"10/30/2023","1,442.11","1,439.89","1,446.04","1,431.63","239.60M","0.55%"
"10/27/2023","1,434.27","1,455.81","1,456.47","1,428.19","228.71M","-1.71%"
"10/26/2023","1,459.16","1,473.60","1,473.60","1,458.39","228.13M","-0.98%"
"10/25/2023","1,473.55","1,486.89","1,486.89","1,462.47","205.02M","-0.90%"
"10/24/2023","1,486.89","1,482.61","1,491.35","1,478.73","195.93M","0.29%"
"10/23/2023","1,482.61","1,492.01","1,495.21","1,481.22","180.92M","-0.63%"
"10/20/2023","1,492.01","1,497.94","1,502.54","1,491.70","216.66M","-0.40%"
"10/19/2023","1,497.94","1,512.50","1,512.50","1,488.38","193.61M","-0.96%"
"10/18/2023","1,512.50","1,526.17","1,532.39","1,510.39","205.85M","-0.90%"
"10/17/2023","1,526.17","1,528.16","1,534.40","1,519.91","282.09M","-0.13%"
"10/16/2023","1,528.16","1,516.76","1,536.90","1,516.76","230.99M","0.75%"
"10/13/2023","1,516.76","1,507.53","1,525.32","1,507.53","195.34M","0.61%"
"10/12/2023","1,507.53","1,521.70","1,524.45","1,506.11","220.26M","-0.93%"
"10/11/2023","1,521.70","1,528.20","1,532.16","1,514.82","211.61M","-0.43%"
"10/10/2023","1,528.20","1,520.70","1,535.14","1,515.70","163.20M","0.49%"
"10/09/2023","1,520.70","1,515.28","1,522.27","1,505.50","136.33M","0.36%"
"10/06/2023","1,515.28","1,500.08","1,520.47","1,495.71","170.06M","1.01%"
"10/05/2023","1,500.08","1,492.70","1,502.72","1,486.82","163.44M","0.49%"
"10/04/2023","1,492.70","1,485.96","1,494.20","1,480.38","177.43M","0.45%"
"10/03/2023","1,485.96","1,499.60","1,499.60","1,479.80","186.74M","-0.91%"
"10/02/2023","1,499.60","1,501.22","1,501.22","1,481.87","221.42M","-0.11%"
"09/29/2023","1,501.22","1,512.80","1,515.65","1,499.46","194.81M","-0.77%"
"09/28/2023","1,512.80","1,505.61","1,517.03","1,505.61","170.11M","0.48%"
"09/27/2023","1,505.61","1,513.10","1,517.28","1,494.54","187.33M","-0.50%"
"09/26/2023","1,513.10","1,526.27","1,526.27","1,512.62","163.25M","-0.86%"
"09/25/2023","1,526.27","1,518.09","1,526.61","1,512.11","139.09M","0.54%"
"09/22/2023","1,518.09","1,521.02","1,527.07","1,516.51","163.63M","-0.19%"
"09/21/2023","1,521.02","1,535.17","1,535.17","1,520.73","175.81M","-0.92%"
"09/20/2023","1,535.17","1,534.89","1,545.79","1,534.89","164.86M","0.02%"
"09/19/2023","1,534.89","1,533.43","1,537.89","1,525.01","165.35M","0.10%"
"09/18/2023","1,533.43","1,536.19","1,538.89","1,527.95","171.32M","-0.18%"
"09/15/2023","1,536.19","1,547.62","1,551.45","1,534.95","337.49M","-0.74%"
"09/14/2023","1,547.62","1,543.72","1,552.66","1,543.44","179.72M","0.25%"
