"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2024","949.41","953.15","954.45","945.88","290.83M","-0.04%"
"01/11/2024","949.83","952.73","952.85","941.97","202.70M","-0.20%"
"01/10/2024","951.74","947.55","952.75","946.38","201.22M","0.48%"
"01/09/2024","947.20","942.94","947.84","940.21","205.74M","-0.24%"
"01/08/2024","949.50","941.04","949.70","937.18","269.99M","0.58%"
"01/05/2024","944.00","941.36","947.87","940.47","191.69M","0.21%"
"01/04/2024","942.06","941.97","950.40","941.97","190.99M","0.10%"
"01/03/2024","941.16","950.61","950.61","940.90","239.85M","-1.51%"
"01/02/2024","955.58","960.17","964.68","952.67","223.48M","-0.95%"
"12/29/2023","964.73","966.13","968.34","961.55","148.65M","-0.20%"
"12/28/2023","966.65","965.34","968.51","964.80","122.19M","0.01%"
"12/27/2023","966.59","964.36","968.42","963.73","145.96M","0.18%"
"12/26/2023","964.90","958.10","967.19","958.05","134.52M","0.73%"
"12/22/2023","957.94","956.12","961.59","954.72","151.15M","0.44%"
"12/21/2023","953.77","948.37","953.97","946.46","189.32M","1.06%"
"12/20/2023","943.72","952.62","960.37","943.52","224.37M","-1.64%"
"12/19/2023","959.43","954.93","960.42","954.75","208.97M","0.73%"
"12/18/2023","952.49","954.51","955.09","951.18","210.27M","0.07%"
"12/15/2023","951.80","949.37","955.18","948.00","419.08M","-0.20%"
"12/14/2023","953.70","947.24","955.69","946.90","293.34M","1.23%"
"12/13/2023","942.14","931.86","943.42","926.77","245.92M","1.14%"
"12/12/2023","931.51","928.47","933.38","925.94","197.22M","0.46%"
"12/11/2023","927.24","920.73","928.50","920.73","182.06M","0.90%"
"12/08/2023","918.97","916.07","923.12","915.84","202.45M","0.33%"
"12/07/2023","915.94","917.14","918.32","913.54","208.58M","0.06%"
"12/06/2023","915.35","914.93","920.60","914.13","211.16M","0.47%"
"12/05/2023","911.04","916.02","916.02","910.33","179.95M","-0.86%"
"12/04/2023","918.95","910.72","919.16","910.08","237.13M","0.21%"
"12/01/2023","917.07","904.10","917.72","903.33","204.31M","1.57%"
"11/30/2023","902.92","895.57","903.31","892.28","268.47M","1.07%"
"11/29/2023","893.39","895.18","897.85","891.84","168.07M","0.33%"
"11/28/2023","890.49","893.46","897.59","889.13","177.20M","-0.24%"
"11/27/2023","892.65","894.68","895.06","891.24","156.68M","-0.58%"
"11/24/2023","897.85","896.22","898.69","895.19","72.84M","0.29%"
"11/22/2023","895.24","895.45","897.99","891.55","182.54M","0.19%"
"11/21/2023","893.54","892.28","895.06","890.03","156.81M","-0.05%"
"11/20/2023","894.01","890.53","896.46","887.03","173.57M","0.32%"
"11/17/2023","891.12","890.64","891.55","887.93","172.55M","0.59%"
"11/16/2023","885.93","887.33","890.55","882.36","183.19M","-0.06%"
"11/15/2023","886.47","886.00","893.05","886.00","220.39M","0.20%"
"11/14/2023","884.71","877.10","887.98","877.10","220.08M","2.04%"
"11/13/2023","867.01","865.54","869.14","863.14","166.92M","0.09%"
"11/10/2023","866.21","858.93","867.34","856.10","177.20M","1.34%"
