"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2024","526.40","528.41","529.44","524.08","62.23M","0.14%"
"01/11/2024","525.68","527.56","527.90","521.92","72.61M","-0.32%"
"01/10/2024","527.38","526.24","527.82","524.99","57.97M","-0.17%"
"01/09/2024","528.28","530.73","530.73","526.49","64.12M","-1.10%"
"01/08/2024","534.14","529.96","534.39","527.43","61.71M","0.41%"
"01/05/2024","531.94","529.79","535.01","529.13","75.85M","0.21%"
"01/04/2024","530.82","531.78","534.20","530.13","74.85M","-0.33%"
"01/03/2024","532.58","534.28","535.42","529.00","77.28M","-1.11%"
"01/02/2024","538.56","536.20","539.47","535.84","72.93M","-0.20%"
"12/29/2023","539.62","539.93","541.21","538.63","48.00M","-0.39%"
"12/28/2023","541.72","543.50","544.06","541.52","40.59M","-0.46%"
"12/27/2023","544.23","542.27","544.65","541.66","49.85M","0.25%"
"12/26/2023","542.87","541.18","544.55","540.84","40.96M","0.44%"
"12/22/2023","540.47","539.16","541.62","538.37","55.07M","0.63%"
"12/21/2023","537.07","536.01","537.15","533.70","58.08M","1.02%"
"12/20/2023","531.67","537.76","539.61","531.51","76.58M","-1.48%"
"12/19/2023","539.63","538.06","541.03","537.65","90.45M","0.91%"
"12/18/2023","534.74","538.63","538.81","534.46","83.00M","0.06%"
"12/15/2023","534.42","533.46","537.47","532.56","223.77M","-0.20%"
"12/14/2023","535.49","530.34","538.48","530.34","139.97M","1.68%"
"12/13/2023","526.66","514.58","527.09","514.14","102.19M","1.20%"
"12/12/2023","520.43","523.03","524.71","518.10","81.47M","0.57%"
"12/11/2023","517.50","513.27","517.60","512.23","71.42M","0.71%"
"12/08/2023","513.85","511.64","516.32","511.63","79.57M","0.33%"
"12/07/2023","512.15","510.01","512.61","509.11","86.17M","0.67%"
"12/06/2023","508.74","511.49","513.62","508.18","77.90M","-0.16%"
"12/05/2023","509.54","513.90","514.32","508.55","94.31M","-1.37%"
"12/04/2023","516.63","518.40","522.49","516.59","99.99M","-1.19%"
"12/01/2023","522.84","517.60","524.57","516.62","94.83M","1.09%"
"11/30/2023","517.20","512.79","517.70","511.03","138.91M","0.97%"
"11/29/2023","512.25","511.69","514.67","511.37","75.20M","0.38%"
"11/28/2023","510.33","509.57","513.07","507.95","94.96M","0.20%"
"11/27/2023","509.33","508.34","509.91","505.98","80.89M","-0.08%"
"11/24/2023","509.76","508.48","511.70","508.17","31.40M","0.33%"
"11/22/2023","508.07","507.84","508.60","505.41","55.15M","0.12%"
"11/21/2023","507.47","506.69","509.51","506.49","74.05M","0.40%"
"11/20/2023","505.47","504.30","507.26","501.43","79.28M","0.15%"
"11/17/2023","504.69","505.42","506.57","503.42","66.48M","0.17%"
"11/16/2023","503.85","502.01","504.48","501.06","76.11M","0.24%"
"11/15/2023","502.62","501.33","506.98","501.14","86.51M","0.47%"
"11/14/2023","500.27","491.72","502.49","491.72","96.72M","2.91%"
"11/13/2023","486.12","484.43","488.07","483.43","85.87M","-0.14%"
"11/10/2023","486.80","481.76","487.17","480.97","81.68M","1.16%"
"11/09/2023","481.23","487.36","487.95","480.85","92.65M","-0.85%"
"11/08/2023","485.34","485.14","486.81","482.39","79.27M","0.26%"
"11/07/2023","484.10","488.35","488.46","483.26","171.20M","-1.87%"
"11/06/2023","493.33","495.97","495.97","492.44","75.55M","-0.51%"
"11/03/2023","495.87","491.46","499.35","491.46","89.43M","1.55%"
"11/02/2023","488.32","481.79","488.37","481.79","91.78M","1.92%"
"11/01/2023","479.10","479.12","480.07","474.06","105.66M","0.10%"
"10/31/2023","478.64","476.43","480.03","474.96","96.22M","0.45%"
"10/30/2023","476.48","474.27","477.82","473.24","85.80M","0.99%"
"10/27/2023","471.83","473.06","475.24","470.76","89.91M","-0.06%"
"10/26/2023","472.11","471.77","476.18","470.60","130.03M","0.72%"
"10/25/2023","468.75","473.06","474.08","468.36","87.28M","-1.14%"
"10/24/2023","474.16","471.92","477.07","471.92","83.65M","1.13%"
"10/23/2023","468.88","469.10","473.56","468.05","90.00M","-1.07%"
"10/20/2023","473.96","479.14","480.53","473.88","86.62M","-1.29%"
"10/19/2023","480.13","484.24","487.54","479.19","87.67M","-1.08%"
"10/18/2023","485.38","494.12","494.12","484.88","81.39M","-2.58%"
"10/17/2023","498.22","490.21","499.94","489.81","67.38M","1.01%"
"10/16/2023","493.24","491.90","496.66","490.81","63.73M","0.92%"
"10/13/2023","488.74","492.82","495.08","486.70","67.96M","-0.36%"
"10/12/2023","490.53","499.39","499.39","486.80","71.93M","-1.52%"
"10/11/2023","498.08","498.39","500.93","494.03","59.09M","0.23%"
"10/10/2023","496.92","493.91","500.97","493.68","69.40M","1.08%"
"10/09/2023","491.61","488.79","493.01","485.79","66.44M","0.15%"
"10/06/2023","490.89","485.67","494.35","483.59","78.81M","0.96%"
"10/05/2023","486.23","490.89","493.94","483.48","76.23M","-1.26%"
"10/04/2023","492.44","489.35","493.15","485.89","83.73M","1.19%"
"10/03/2023","486.63","485.46","492.61","484.63","81.67M","-0.30%"
"10/02/2023","488.08","492.85","493.13","484.70","75.65M","-1.31%"
"09/29/2023","494.54","498.88","500.11","493.25","71.55M","-0.22%"
"09/28/2023","495.65","491.21","497.36","491.17","72.08M","1.05%"
"09/27/2023","490.52","492.07","493.43","487.56","73.71M","0.02%"
"09/26/2023","490.44","495.00","497.10","489.12","73.69M","-1.45%"
"09/25/2023","497.67","492.13","497.90","491.74","62.30M","0.80%"
"09/22/2023","493.72","495.02","498.03","493.05","66.32M","-0.13%"
"09/21/2023","494.34","501.05","501.05","494.19","75.60M","-2.04%"
"09/20/2023","504.66","511.04","512.96","504.33","70.47M","-1.03%"
"09/19/2023","509.91","510.65","512.21","505.56","79.20M","-0.10%"
"09/18/2023","510.41","511.95","512.95","508.81","62.83M","-0.43%"
"09/15/2023","512.61","517.70","519.19","511.73","137.06M","-1.09%"
"09/14/2023","518.25","514.55","519.35","514.55","75.88M","1.40%"
"09/13/2023","511.09","513.71","514.85","509.85","74.19M","-0.59%"
"09/12/2023","514.14","513.75","516.36","513.02","72.94M","-0.24%"
"09/11/2023","515.39","517.26","519.01","514.41","60.74M","0.41%"
"09/08/2023","513.26","512.11","515.35","511.62","67.14M","0.12%"
"09/07/2023","512.62","512.76","514.57","508.92","94.99M","-0.44%"
"09/06/2023","514.90","515.04","517.32","511.03","65.70M","-0.33%"
"09/05/2023","516.63","524.92","525.69","516.54","69.96M","-1.81%"
"09/01/2023","526.13","524.96","527.65","524.69","57.07M","1.02%"
"08/31/2023","520.84","521.90","523.13","520.29","69.60M","-0.05%"
"08/30/2023","521.10","520.35","521.97","519.23","50.05M","0.15%"
"08/29/2023","520.31","511.64","520.46","510.63","56.98M","1.68%"
"08/28/2023","511.73","509.70","514.08","509.48","53.46M","0.74%"
"08/25/2023","507.99","508.56","510.30","503.88","61.21M","0.27%"
"08/24/2023","506.62","506.62","510.93","505.87","58.64M","-0.43%"
"08/23/2023","508.83","508.27","510.52","506.75","63.00M","0.18%"
"08/22/2023","507.91","510.64","511.63","506.56","55.66M","-0.08%"
"08/21/2023","508.31","509.81","510.15","504.91","55.75M","0.02%"
"08/18/2023","508.20","505.65","509.48","505.02","72.43M","-0.08%"
"08/17/2023","508.63","512.01","516.16","508.00","73.75M","-0.18%"
"08/16/2023","509.56","511.87","514.71","509.46","64.21M","-0.66%"
"08/15/2023","512.97","517.47","517.54","512.09","67.39M","-1.65%"
"08/14/2023","521.55","517.94","521.58","516.32","69.27M","0.19%"
"08/11/2023","520.56","520.55","523.04","518.87","58.02M","-0.27%"
"08/10/2023","521.97","523.78","527.22","520.86","69.18M","0.09%"
"08/09/2023","521.50","524.88","526.80","521.06","71.74M","-0.47%"
"08/08/2023","523.95","524.17","524.84","518.28","82.56M","-1.05%"
"08/07/2023","529.50","527.98","530.26","525.57","60.06M","0.70%"
"08/04/2023","525.84","529.22","533.64","525.58","75.12M","-0.27%"
"08/03/2023","527.26","528.28","531.60","526.44","93.96M","-0.60%"
"08/02/2023","530.46","532.49","535.34","530.21","85.29M","-1.23%"
"08/01/2023","537.08","535.81","539.35","535.40","73.39M","-0.44%"
"07/31/2023","539.48","537.47","540.39","536.45","87.44M","0.52%"
"07/28/2023","536.71","537.19","538.22","533.93","65.15M","0.69%"
"07/27/2023","533.01","537.22","540.01","532.60","84.64M","-0.67%"
"07/26/2023","536.60","535.64","537.84","532.29","75.88M","-0.28%"
"07/25/2023","538.13","530.46","540.30","530.46","97.30M","1.76%"
"07/24/2023","528.81","527.49","529.73","525.64","70.75M","0.31%"
"07/21/2023","527.18","526.10","528.13","523.08","66.41M","0.00%"
"07/20/2023","527.18","526.04","528.23","523.60","79.13M","0.24%"
"07/19/2023","525.90","527.71","529.43","524.36","75.72M","-0.52%"
"07/18/2023","528.63","523.37","530.26","523.35","67.56M","0.78%"
"07/17/2023","524.56","522.39","525.59","521.64","54.75M","0.08%"
"07/14/2023","524.15","527.35","527.35","521.86","63.43M","-0.58%"
"07/13/2023","527.19","524.79","527.85","523.06","72.25M","0.79%"
"07/12/2023","523.07","522.24","524.76","519.03","78.46M","1.29%"
"07/11/2023","516.39","513.74","516.74","512.33","66.56M","0.97%"
"07/10/2023","511.42","508.88","514.40","507.80","80.47M","-0.01%"
"07/07/2023","511.46","506.79","516.63","506.13","82.42M","0.88%"
"07/06/2023","506.98","505.65","507.37","499.45","85.68M","-0.71%"
"07/05/2023","510.60","518.06","518.20","509.92","90.94M","-2.47%"
"07/03/2023","523.53","521.75","525.93","520.95","38.73M","0.31%"
"06/30/2023","521.93","518.80","523.09","517.85","71.47M","0.93%"
"06/29/2023","517.14","509.51","517.38","508.30","60.73M","1.27%"
