"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2024","248.60","249.23","249.87","247.31","65.08M","0.76%"
"01/11/2024","246.72","247.67","248.47","245.78","71.77M","-0.94%"
"01/10/2024","249.05","249.10","250.22","248.22","68.95M","0.19%"
"01/09/2024","248.57","248.26","249.77","247.20","61.97M","-0.77%"
"01/08/2024","250.50","246.40","250.67","246.38","67.38M","1.41%"
"01/05/2024","247.01","245.81","249.13","244.80","64.04M","-0.19%"
"01/04/2024","247.48","247.13","249.21","246.52","67.11M","-0.17%"
"01/03/2024","247.91","251.44","251.44","247.50","64.96M","-2.26%"
"01/02/2024","253.65","250.32","253.78","249.56","66.14M","1.07%"
"12/29/2023","250.96","252.31","253.25","250.78","76.93M","-1.20%"
"12/28/2023","254.01","252.14","254.02","251.93","45.67M","0.54%"
"12/27/2023","252.64","251.27","252.69","250.67","51.43M","0.46%"
"12/26/2023","251.49","249.41","252.08","249.38","42.50M","0.81%"
"12/22/2023","249.46","249.39","251.36","248.53","56.74M","0.31%"
"12/21/2023","248.68","248.54","249.22","246.03","68.98M","0.90%"
"12/20/2023","246.47","249.66","251.40","246.39","70.60M","-1.32%"
"12/19/2023","249.76","248.94","250.42","248.75","71.56M","0.79%"
"12/18/2023","247.80","249.85","249.96","247.62","80.42M","-0.42%"
"12/15/2023","248.84","250.56","251.06","246.58","175.58M","-1.30%"
"12/14/2023","252.12","250.43","253.74","250.43","135.61M","2.54%"
"12/13/2023","245.88","237.48","246.68","236.78","93.49M","3.63%"
"12/12/2023","237.27","237.18","237.95","235.88","72.97M","-0.09%"
"12/11/2023","237.48","235.97","237.81","235.63","69.81M","0.29%"
"12/08/2023","236.80","236.79","237.68","234.34","74.60M","-0.24%"
"12/07/2023","237.36","237.19","238.43","236.26","71.10M","0.11%"
"12/06/2023","237.09","239.21","240.33","236.98","82.09M","-0.36%"
"12/05/2023","237.94","238.11","238.26","236.53","79.21M","-0.40%"
"12/04/2023","238.89","236.50","238.96","235.92","78.53M","0.54%"
"12/01/2023","237.60","232.41","237.71","232.10","79.32M","2.06%"
"11/30/2023","232.81","230.47","232.93","229.78","121.94M","0.95%"
"11/29/2023","230.63","230.69","232.44","230.44","75.74M","0.75%"
"11/28/2023","228.91","226.77","229.14","225.97","64.46M","0.58%"
"11/27/2023","227.59","226.56","228.84","226.06","62.04M","0.43%"
"11/24/2023","226.62","225.38","226.62","224.25","22.14M","0.32%"
"11/22/2023","225.89","227.40","227.50","224.95","48.00M","0.35%"
"11/21/2023","225.11","225.48","226.02","224.53","56.90M","-0.51%"
"11/20/2023","226.27","224.10","226.31","222.39","66.07M","0.84%"
"11/17/2023","224.39","226.65","226.65","223.84","75.53M","-0.24%"
"11/16/2023","224.92","225.49","226.10","224.36","72.43M","0.05%"
