"Date","Price","Open","High","Low","Vol.","Change %"
"01/12/2024","321.70","322.45","322.91","320.49","95.68M","0.59%"
"01/11/2024","319.82","325.80","326.30","318.92","108.54M","-2.35%"
"01/10/2024","327.50","327.46","329.05","326.42","87.84M","-0.06%"
"01/09/2024","327.71","328.25","328.96","327.00","91.84M","-0.76%"
"01/08/2024","330.21","327.13","330.34","326.24","89.68M","0.72%"
"01/05/2024","327.84","325.93","329.37","324.80","103.65M","0.39%"
"01/04/2024","326.58","328.03","329.74","326.27","104.21M","-0.33%"
"01/03/2024","327.65","326.26","328.23","324.17","119.62M","0.39%"
"01/02/2024","326.37","320.62","327.16","319.89","105.94M","1.38%"
"12/29/2023","321.92","321.04","322.40","319.74","71.30M","-0.09%"
"12/28/2023","322.21","319.13","322.62","319.04","67.87M","0.70%"
"12/27/2023","319.96","319.58","320.54","318.70","70.29M","-0.12%"
"12/26/2023","320.34","317.86","321.47","317.86","66.58M","0.65%"
"12/22/2023","318.28","318.29","321.42","317.79","88.23M","0.33%"
"12/21/2023","317.22","317.76","319.41","315.06","97.35M","0.13%"
"12/20/2023","316.81","322.79","323.58","316.72","125.06M","-1.98%"
"12/19/2023","323.21","322.47","323.66","321.28","123.05M","0.56%"
"12/18/2023","321.40","322.87","324.80","320.82","154.26M","-0.30%"
"12/15/2023","322.36","325.29","326.20","319.95","332.54M","-1.73%"
"12/14/2023","328.03","334.86","336.16","327.44","225.87M","-1.28%"
"12/13/2023","332.28","320.64","332.37","319.01","138.45M","3.72%"
"12/12/2023","320.37","322.01","322.01","317.84","101.26M","-0.41%"
"12/11/2023","321.68","318.22","322.03","318.05","114.69M","0.66%"
"12/08/2023","319.56","320.05","320.78","317.27","106.44M","-0.22%"
"12/07/2023","320.25","321.36","322.47","318.78","106.99M","-0.24%"
"12/06/2023","321.02","318.33","321.07","317.86","117.13M","1.38%"
"12/05/2023","316.65","319.11","319.35","315.55","122.03M","-0.81%"
"12/04/2023","319.25","318.13","321.81","317.53","120.45M","-0.39%"
"12/01/2023","320.51","316.69","320.51","314.69","124.42M","1.24%"
"11/30/2023","316.57","316.12","316.90","313.95","235.47M","0.41%"
"11/29/2023","315.29","317.86","319.18","314.26","156.06M","-0.79%"
"11/28/2023","317.79","316.89","320.17","315.74","125.19M","0.31%"
"11/27/2023","316.80","316.77","317.52","314.45","119.58M","0.09%"
"11/24/2023","316.50","315.54","316.50","314.37","42.69M","0.30%"
"11/22/2023","315.54","315.20","315.71","312.76","95.50M","0.34%"
"11/21/2023","314.48","314.20","314.93","311.55","103.98M","0.22%"
"11/20/2023","313.79","313.23","314.97","309.73","112.41M","-0.31%"
"11/17/2023","314.76","315.47","315.55","313.01","131.28M","0.19%"
"11/16/2023","314.16","315.14","316.48","314.00","131.52M","0.45%"
"11/15/2023","312.75","313.24","317.33","312.13","119.69M","-0.33%"
"11/14/2023","313.79","308.38","313.99","307.88","144.43M","3.94%"
"11/13/2023","301.89","304.82","305.52","301.49","103.80M","-1.24%"
"11/10/2023","305.68","305.92","306.42","303.81","99.17M","0.52%"
"11/09/2023","304.11","308.39","309.66","304.05","116.72M","-1.38%"
"11/08/2023","308.38","309.14","309.23","304.81","130.32M","-0.73%"
"11/07/2023","310.66","313.33","313.33","310.26","121.15M","-0.73%"
"11/06/2023","312.95","314.45","315.30","312.69","128.61M","-0.28%"
"11/03/2023","313.83","317.05","317.72","313.81","142.88M","0.60%"
"11/02/2023","311.97","306.78","313.55","306.39","157.13M","1.89%"
"11/01/2023","306.19","303.60","308.08","300.41","150.13M","1.10%"
"10/31/2023","302.87","301.44","303.12","299.40","128.99M","0.86%"
"10/30/2023","300.29","299.55","302.25","297.11","104.08M","0.68%"
"10/27/2023","298.27","302.59","304.15","297.27","120.60M","-1.81%"
"10/26/2023","303.77","302.01","306.51","302.01","132.33M","0.86%"
"10/25/2023","301.17","298.96","301.81","297.96","124.21M","0.48%"
"10/24/2023","299.72","296.68","300.77","295.64","130.85M","2.57%"
"10/23/2023","292.20","291.25","296.26","289.75","122.79M","-0.82%"
"10/20/2023","294.62","297.30","299.74","294.58","136.45M","-1.05%"
"10/19/2023","297.76","300.27","302.50","297.49","107.55M","-0.93%"
"10/18/2023","300.57","303.24","304.79","298.79","115.72M","-0.94%"
"10/17/2023","303.42","302.21","305.23","301.13","102.05M","-0.24%"
"10/16/2023","304.15","301.54","305.26","299.40","115.63M","1.05%"
"10/13/2023","301.00","300.17","302.92","298.93","124.47M","1.09%"
"10/12/2023","297.75","301.00","302.50","295.05","139.58M","-1.50%"
"10/11/2023","302.27","299.00","302.56","297.17","108.78M","1.63%"
"10/10/2023","297.42","293.79","297.61","293.62","127.47M","1.36%"
"10/09/2023","293.44","290.18","293.46","288.91","117.33M","1.01%"
"10/06/2023","290.51","283.18","291.27","278.06","172.64M","1.37%"
"10/05/2023","286.59","287.40","288.28","283.81","159.01M","-0.55%"
"10/04/2023","288.17","289.32","290.36","283.76","150.57M","-0.09%"
"10/03/2023","288.42","282.98","289.39","278.89","209.76M","1.17%"
"10/02/2023","285.09","296.82","297.01","281.85","228.80M","-4.72%"
"09/29/2023","299.20","301.31","303.58","297.50","142.92M","0.21%"
"09/28/2023","298.58","306.82","306.94","298.17","152.02M","-2.19%"
"09/27/2023","305.25","310.14","311.36","304.57","129.88M","-1.93%"
"09/26/2023","311.26","319.70","319.70","310.54","109.51M","-3.05%"
"09/25/2023","321.04","319.74","321.35","317.80","87.51M","-0.20%"
"09/22/2023","321.67","320.83","323.66","319.50","95.80M","-0.16%"
"09/21/2023","322.19","325.19","326.03","322.16","105.48M","-1.08%"
"09/20/2023","325.71","326.82","329.10","324.75","89.26M","0.10%"
"09/19/2023","325.37","326.90","328.03","325.30","100.18M","-0.55%"
"09/18/2023","327.16","327.72","328.17","324.90","90.15M","-0.05%"
"09/15/2023","327.33","328.36","330.78","327.12","290.52M","-0.49%"
"09/14/2023","328.95","326.25","329.08","325.77","120.05M","1.47%"
"09/13/2023","324.17","321.03","325.63","320.93","109.99M","1.21%"
"09/12/2023","320.31","319.78","321.27","317.84","93.43M","0.13%"
"09/11/2023","319.90","318.49","321.64","318.49","89.41M","0.34%"
"09/08/2023","318.83","316.30","319.26","315.53","92.64M","0.96%"
"09/07/2023","315.79","313.41","318.40","313.41","113.29M","1.26%"
"09/06/2023","311.85","311.78","312.29","309.94","107.47M","0.20%"
"09/05/2023","311.22","315.50","316.06","309.57","101.79M","-1.54%"
"09/01/2023","316.10","319.65","320.46","313.63","88.89M","-0.52%"
"08/31/2023","317.74","321.75","322.34","317.72","116.00M","-1.03%"
"08/30/2023","321.05","321.79","323.51","319.86","74.32M","-0.42%"
"08/29/2023","322.42","321.72","323.42","320.41","77.22M","0.28%"
"08/28/2023","321.52","322.50","323.94","321.00","63.46M","-0.04%"
"08/25/2023","321.65","319.94","323.24","319.58","76.90M","0.78%"
"08/24/2023","319.15","320.78","324.91","318.96","79.94M","-0.63%"
"08/23/2023","321.18","321.43","321.62","318.92","80.35M","0.45%"
"08/22/2023","319.73","318.67","320.70","317.62","79.46M","0.26%"
"08/21/2023","318.89","320.44","320.78","316.42","75.88M","-0.60%"
"08/18/2023","320.80","318.91","321.67","318.91","97.62M","0.39%"
"08/17/2023","319.56","320.59","323.77","319.50","78.72M","-0.33%"
"08/16/2023","320.63","320.23","321.99","319.43","82.95M","0.46%"
"08/15/2023","319.17","322.64","322.64","319.03","97.69M","-1.69%"
"08/14/2023","324.66","326.79","326.86","323.30","88.17M","-0.83%"
"08/11/2023","327.38","325.81","327.78","324.98","78.62M","0.51%"
"08/10/2023","325.71","327.83","329.94","324.77","83.41M","-0.32%"
"08/09/2023","326.74","325.68","329.63","325.59","97.66M","0.17%"
"08/08/2023","326.18","324.21","326.29","321.70","101.98M","0.49%"
"08/07/2023","324.58","325.85","327.39","324.57","102.13M","-0.02%"
"08/04/2023","324.65","329.55","331.54","323.35","103.44M","-1.21%"
"08/03/2023","328.62","335.20","335.35","328.40","102.52M","-2.29%"
"08/02/2023","336.32","334.94","337.94","334.50","97.70M","-0.01%"
"08/01/2023","336.34","340.34","341.82","336.19","107.98M","-1.26%"
"07/31/2023","340.62","341.73","343.15","339.01","123.33M","0.03%"
"07/28/2023","340.51","343.69","344.92","338.83","90.79M","-0.26%"
"07/27/2023","341.41","346.38","347.53","340.67","103.33M","-1.73%"
"07/26/2023","347.41","346.58","351.30","345.93","78.97M","-0.05%"
"07/25/2023","347.57","346.61","348.56","345.46","82.13M","0.22%"
