Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
A,"Agilent Technologies",-10.60,129.01,-2.08,-1.59%,159.59,96.8,-17.79%,"10:08 ET"
AAL,"American Airlines Gp",-10.00,14.3,-0.049999999999999,-0.35%,19.08,10.86,-5.80%,"10:09 ET"
AAPL,"Apple Inc",+28.70,183.86,-2.33,-1.25%,199.62,131.44,+38.56%,"10:09 ET"
ABBV,"Abbvie Inc",+13.30,164.79,-0.099999999999994,-0.06%,166.2,130.96,+4.78%,"10:09 ET"
ABNB,"Airbnb Inc Cl A",+34.90,138.42,-1.34,-0.96%,154.95,94.02,+48.02%,"10:09 ET"
ABT,"Abbott Laboratories",+6.60,113.24,-1.16,-1.01%,115.83,89.67,+0.32%,"10:08 ET"
ACGL,"Arch Capital Grp Ltd",+15.90,76.92,-0.039999999999992,-0.05%,90.65,60.7,+22.31%,"10:09 ET"
ACN,"Accenture Plc",+25.00,344.16,-1.17,-0.34%,355.38,242.8,+22.75%,"10:09 ET"
ADBE,"Adobe Systems Inc",+68.40,590.6,-0.42999999999995,-0.07%,633.89,318.6,+73.00%,"10:09 ET"
ADI,"Analog Devices",+10.10,186.58,-1.79,-0.95%,202.77,154.99,+11.04%,"10:09 ET"
ADM,"Archer Daniels Midland",-21.20,69.51,0.18000000000001,+0.26%,89.32,69.09,-19.84%,"10:08 ET"
ADP,"Automatic Data Procs",-1.70,234.72,-0.56999999999999,-0.24%,256.84,201.46,-4.11%,"10:09 ET"
ADSK,"Autodesk Inc",+23.60,238.13,-0.69,-0.29%,245.88,188.38,+19.86%,"10:08 ET"
AEE,"Ameren Corp",-19.50,72.17,-1.61,-2.18%,91.18,69.71,-19.74%,"10:09 ET"
AEP,"American Electric Power Company",-11.10,80.89,-1.65,-2.00%,97.84,69.38,-16.91%,"10:09 ET"
AES,"The Aes Corp",-27.80,17.98,-0.9,-4.77%,28.18,11.43,-33.93%,"10:09 ET"
AFL,"Aflac Inc",+17.70,82.28,-0.36,-0.44%,84.64,60.2,+14.42%,"10:09 ET"
AIG,"American International Group",+12.90,67.25,-0.34,-0.50%,69.76,45.66,+5.91%,"10:09 ET"
AIZ,"Assurant Inc",+31.30,162.76,-0.54000000000002,-0.33%,173.6,104.49,+28.42%,"10:09 ET"
AJG,"Arthur J. Gallagher & Company",+15.70,230.6,0.44999999999999,+0.20%,254,174.45,+17.34%,"10:09 ET"
