,Tickers
0,ELV
1,BR
2,ABT
3,NCLH
4,CDW
5,TYL
6,WBA
7,CB
8,DRI
9,SLB
10,NOW
11,SYK
12,LKQ
13,APH
14,NEE
15,BMY
16,UHS
17,CMG
18,PCAR
19,MSCI
20,DIS
21,TDG
22,EXR
23,HLT
24,LUV
25,DHI
26,FANG
27,HON
28,CVX
29,RHI
30,NWSA
31,MRO
32,NEM
33,TGT
34,ABBV
35,FLT
36,BXP
37,L
38,STX
39,BDX
40,SYY
41,MA
42,ODFL
43,J
44,KIM
45,VMC
46,CMCSA
47,ROK
48,PODD
49,IFF
50,CTAS
51,NSC
52,CVS
53,MCO
54,ETN
55,INTC
56,EVRG
57,RCL
58,AMAT
59,GPC
60,APA
61,REG
62,KEYS
63,NWS
64,KLAC
65,IVZ
66,A
67,ZTS
68,BAX
69,HST
70,BSX
71,PPG
72,INCY
73,SJM
74,AFL
75,LYB
76,SBAC
77,GD
78,EPAM
79,ECL
80,MRK
81,CRM
82,AMGN
83,SRE
84,CZR
85,RTX
86,AMP
87,TMO
88,ROST
89,DXCM
90,VTR
91,STLD
92,HBAN
93,NOC
94,ROL
95,EMN
96,DOV
97,GLW
98,BG
99,AJG
