,Market Capitalization,Book to Market Ratio
A,38571045000.0,0.15153854400366906
AAL,9149574000.0,-0.6337999998688464
AAPL,3017853633000.0,0.020592781346463664
ABBV,293088461000.0,0.05886959841793294
ABNB,90607706000.0,0.06136343414322839
ABT,197910839000.0,0.18536630022572942
ACGL,30029152000.0,0.43028188075374224
ACN,231899251000.0,0.11079310902992093
ADBE,269925351000.0,0.06119469675154743
ADI,97840112000.0,0.36350246614599135
ADM,27901159000.0,0.6625531218971943
ADP,98861269000.0,0.03549519478654477
ADSK,54073434000.0,0.02117490818134465
AEE,18148463000.0,0.5790021998006112
AEP,41076175000.0,0.5883775692356944
AES,11310039000.0,0.2154722897065165
AFL,49461924000.0,0.4071818961187195
AIG,48623292000.0,0.8936869186068274
AIZ,8895700000.0,0.47536450195038055
AJG,51749548000.0,0.1775899569209764
AKAM,18587027000.0,0.2345822707418459
ALB,14386304000.0,0.5548768467564706
ALGN,20405635000.0,0.1764884062662103
ALL,40328585000.0,0.43053828940440136
ALLE,11007687000.0,0.08580367519534303
AMAT,138829742000.0,0.11776295024736126
AMCR,13672917000.0,0.2991314874507027
AMD,272082518000.0,0.20122571785372848
AME,38109532000.0,0.19618482850957078
AMGN,165990810000.0,0.02205543788839876
AMP,39173980000.0,0.09707974527990262
AMT,94286529000.0,0.13160416585066992
AMZN,1612310774000.0,0.09057993183142991
ANET,81399316000.0,0.060022863091380274
ANSS,29713512000.0,0.1637588649904461
AON,60957762000.0,-0.007037659945586585
AOS,12172731000.0,0.14357501204947354
APA,9306819000.0,0.2426178052887888
APD,58499297000.0,0.26770065288135003
APH,58598486000.0,0.12106285476385857
APTV,23092855000.0,0.3938014593691425
ARE,21445575000.0,1.0577122320105663
ATO,17065358000.0,0.6369666549040459
AVB,25504475000.0,0.44134364655614355
AVGO,574085988000.0,0.04178468121747643
AVY,16189207000.0,0.12552807558764306
AWK,24583453000.0,0.3129340699209342
AXON,19171064000.0,0.06616695870401351
AXP,135160521000.0,0.18282705495046145
AZO,47869342000.0,-0.09087014398484942
BA,127952642000.0,-0.12385832564520238
BAC,258734227000.0,1.0558981823460103
BALL,17887025000.0,0.19718203558165764
BAX,19643587000.0,0.3000979403608923
BBWI,9362994000.0,-0.2356083962031803
BBY,15738985000.0,0.17758451386795274
BDX,69203509000.0,0.372755664745266
BEN,14038280000.0,0.9669204489438877
BG,12895763000.0,0.7720365208324625
BIIB,36467929000.0,0.36712805928738096
BIO,9198427000.0,1.045314813065321
